Source,Target,Weight
Trump,Do: insult,1
Christian,Do: spew,1
Trump,Act_on: throw,1
Unification Church,Do: believe,1
bishops,Act_on: soak,1
bishops,Act_on: castigate,1
bishops,Is: wrong,1
Vatican,Do: suspect,1
Priests/Clergy,Act_on: consider,1
bishops,Is: Anglicans,1
Priests/Clergy,Is: tire,1
Priests/Clergy,Do: describe,1
Catholic,Act_on: describe,1
Canada,Do: experience,1
Trump,Do: read,1
Catholics,Act_on: ask,1
Catholics,Do: listen,1
Catholics,Do: reach,1
Catholics,Do: discover,1
Jesus,Is: human----not,1
Priests/Clergy,Do: like,1
Priests/Clergy,Do: hate,1
Trump,Do: have,1
bishops,Do: reject,1
Church (General),Do: end,1
Jesus,Is: willing,1
bishops,Do: state,1
Priests/Clergy,Do: listen,1
bishops,Do: make,1
Vatican,Do: make,1
bishops,Do: click,1
Church (General),Act_on: forgive,1
Catholic,Do: vow,1
Catholic,Do: hate,1
Church (General),Do: dig,1
Canadian,Do: call,1
Canadian,Do: put,1
Justin,Act_on: defend,1
Church (General),Do: commit,1
Christian,Do: subscribe,1
Jesus,Do: believe,1
Christian,Do: institute,1
Catholic,Act_on: kick,1
Canadian,Do: visit,1
Canadian,Do: consider,1
Trump,Do: give,1
Catholics,Do: shock,1
Catholics,Do: despair,1
Catholics,Do: guess,1
Vatican,Is: surprised,1
Catholic,Act_on: lie,1
Church (General),Act_on: burn,1
Trump,Do: precede,1
Church (General),Do: shoot,1
Church (General),Do: celebrate,1
Christian,Do: stab,1
Priests/Clergy,Do: recite,1
Topic 15,Jesus,1
Jesus,Do: point,1
Christian,Do: hate,1
Trump,Do: invent,1
Church (General),Is: false,1
信徒,Do: 站,1
Church (General),Act_on: recognize,1
Church (General),Do: preserve,1
NCR,Do: tell,1
NCR,Do: prefer,1
Trump,Is: man,1
Church (General),Do: lay,1
Church (General),Do: protect,1
Trump,Act_on: hate,1
Catholic,Is: willing,1
Catholic,Is: person,1
Christian,Is: sterile,1
Christianity,Do: do,1
Canadian,Do: know,1
Canadian,Do: stay,1
Catholics,Is: sure,1
Canadian,Do: say,1
Canadian,Do: come,1
Church (General),Do: recognize,1
主教,Do: 教义,1
犹太人,Do: 玩,1
基督教,Do: 怜悯,1
主教,Do: 提出,1
基督徒,Do: 搞,1
法利赛人,Do: 念,1
法利赛人,Act_on: 得到,1
主教,Act_on: 读,1
基督徒,Do: 看见,1
基督徒,Act_on: 问,1
主教,Do: 占,1
神职人员,Do: 追责,1
信徒,Do: 干,1
Church (General),Do: face,1
Ontario,Act_on: take,1
Jesus,Do: set,1
Pharisee,Do: see,1
Church (General),Do: seem,1
Christian,Do: apologize,1
Church (General),Is: fair,1
Pharisee,Is: happy,1
Pharisee,Do: explain,1
bishops,Do: ask,1
Priests/Clergy,Do: raise,1
Christian,Do: give,1
Christian,Is: aware,1
Priests/Clergy,Do: disagree,1
Church (General),Do: learn,1
Canadian,Do: mean,1
Canada,Do: suffer,1
Canadian,Do: see,1
Canadian,Is: white,1
Canadian,Do: prefer,1
Canadian,Do: guarantee,1
Canadian,Do: suspect,1
Jesus,Do: crucify,1
Catholic,Is: apologist,1
Catholic,Is: round,1
Trump,Is: horrible,1
Canadian,Do: appreciate,1
Jesus,Act_on: reference,1
Trump,Is: AntiChrist,1
Vatican,Do: answer,1
bishops,Act_on: include,1
bishops,Do: fear,1
Trudeau,Is: -,1
天主教徒,Do: 认,1
神棍,Do: 瞎扯,1
天主教,Act_on: 自称,1
梵蒂冈,Do: 帮主教们,1
神职人员,Do: 困死,1
信徒,Act_on: 说,1
主教,Do: 宣布,1
天主教徒,Do: 没,1
基督徒,Act_on: 成,1
基督徒,Do: 难说,1
川普,Do: 普输,1
Church (General),Act_on: 发,1
主教,Act_on: 当,1
Trudeau,Is: feminist,1
Islam,Act_on: claim,1
Catholic,Act_on: recruit,1
Unification Church,Do: participate,1
Topic 16,Harper,1
Harper,Act_on: support,1
Trudeau,Act_on: thank,1
Trump,Is: child,1
Catholic,Is: nastier,1
bishops,Do: add,1
Priests/Clergy,Act_on: forgive,1
Church (General),Do: fight,1
Jesus,Act_on: treat,1
Catholic,Do: quit,1
Trump,Act_on: endorse,1
Catholic,Is: disgusted,1
Canada,Do: break,1
Trudeau,Is: post,1
Trump,Do: do,1
Church (General),Act_on: hate,1
Trump,Is: bigot,1
Church (General),Act_on: vilify,1
Priests/Clergy,Do: remind,1
Christian,Do: build,1
Church (General),Do: hold,1
Catholic,Do: march,1
Catholics,Do: pray,1
Catholics,Do: die,1
Christian,Do: absorb,1
Christian,Do: see,1
Christian,Do: swallow,1
Christian,Do: ask,1
Christian,Do: go,1
Christian,Do: belove,1
Priests/Clergy,Is: men,1
Jesus,Act_on: bring,1
Pharisee,Is: sure,1
Priests/Clergy,Act_on: put,1
NCR,Do: use,1
Canadian,Do: get,1
Canadian,Do: tell,1
Vatican,Do: enjoy,1
Church (General),Do: help,1
Catholic,Do: practice,1
Canadian,Do: doubt,1
Trudeau,Act_on: critisize,1
Church (General),Is: sorry,1
Catholic,Do: deny,1
Catholic,Do: disobey,1
Priests/Clergy,Do: provide,1
Vatican,Do: hate,1
Church (General),Do: solve,1
Jesus,Act_on: abandon,1
Catholic,Do: point,1
Jesus,Do: incarnate,1
Catholics,Do: tell,1
Catholics,Do: speak,1
Canada,Is: product,1
Canada,Is: principles,1
Canada,Do: build,1
LGBT,Act_on: have,1
Christianity,Is: anonymous,1
Canadian,Do: refer,1
Canada,Do: have,1
Vatican,Is: tired,1
Justin,Do: appreciate,1
Priests/Clergy,Do: marry,1
Church (General),Do: dictate,1
Christian,Do: belong,1
Church (General),Do: wait,1
Church (General),Act_on: carry,1
Priests/Clergy,Is: willing,1
Priests/Clergy,Do: guide,1
Christian,Do: back,1
Trump,Act_on: normalize,1
Catholic,Do: mention,1
Catholic,Is: scared,1
Catholic,Is: furious,1
Catholic,Do: imagine,1
Catholics,Do: understand,1
Christian,Is: something,1
Catholic,Do: doubt,1
Catholics,Do: disagree,1
Priests/Clergy,Act_on: interview,1
Jesus,Act_on: put,1
Priests/Clergy,Act_on: pay,1
Priests/Clergy,Do: act,1
Christian,Is: shameful,1
Catholic,Do: remain,1
Christian,Do: shoot,1
Church (General),Do: adapt,1
Confucius,Do: wonder,1
Jesus,Is: speaker,1
Church (General),Do: find,1
Catholics,Do: hear,1
bishops,Do: fault,1
Church (General),Act_on: skew,1
Jesus,Do: fix,1
Christianity,Is: sorry,1
Christianity,Act_on: point,1
Christianity,Do: disagree,1
Christianity,Do: claim,1
Christianity,Do: post,1
Trump,Is: Jesus,1
Priests/Clergy,Do: accept,1
Priests/Clergy,Do: ask,1
Catholic,Do: exercise,1
Christian,Do: hear,1
Church (General),Is: patriarchal,1
Church (General),Do: stand,1
Catholic,Do: pay,1
Trump,Act_on: give,1
Trump,Act_on: support,1
Catholics,Do: argue,1
Catholics,Act_on: teach,1
Priests/Clergy,Do: refer,1
Priests/Clergy,Is: clueless,1
Vatican,Do: receive,1
Muslims,Do: guess,1
Canadian,Do: go,1
Vatican,Do: love,1
Vatican,Do: take,1
Church (General),Do: allow,1
Muslims,Do: believe,1
Catholic,Act_on: view,1
Pope,Act_on: hold,1
Christianity,Do: state,1
Topic 17,Christian,1
Christian,Do: pray,1
Christianity,Is: two,1
Christian,Do: presume,1
Muslims,Do: state,1
Catholic,Is: what,1
Catholic,Is: Protestants,1
Catholic,Do: worry,1
Topic 18,priests,1
priests,Act_on: harm,1
Catholic,Do: figure,1
Priests/Clergy,Is: God,1
Priests/Clergy,Do: talk,1
Unification Church,Do: do,1
Jesus,Do: rebuke,1
Priests/Clergy,Do: forget,1
Church (General),Is: agency,1
Priests/Clergy,Is: homilists,1
Trump,Do: humiliate,1
LGBT,Is: active,1
Catholics,Do: preach,1
Catholics,Do: feel,1
教皇,Act_on: 当,1
基督徒,Do: 有,1
法利赛人,Do: 这样,1
信徒,Do: 别死,1
信徒,Do: 给,1
法利赛人,Do: 像,1
犹太人,Do: 犯,1
梵蒂冈,Do: 抓,1
梵蒂冈,Do: 赐,1
法利赛人,Do: 恨,1
教皇,Act_on: 到,1
神职人员,Act_on: 感谢,1
主教,Do: 放,1
Pharisee,Act_on: rebuke,1
Pharisee,Do: thank,1
Jesus,Is: liar,1
Muslims,Do: hope,1
Muslims,Is: Conservative,1
Muslims,Is: Veteran,1
Muslims,Do: express,1
Jesus,Do: intend,1
Church (General),Act_on: intend,1
Christian,Is: sorry,1
Christian,Do: forget,1
Unification Church,Do: address,1
Church (General),Do: declare,1
Church (General),Do: ammnede,1
Vatican,Do: challenge,1
Catholics,Do: presume,1
Priests/Clergy,Is: devoted,1
Priests/Clergy,Do: state,1
Jesus,Act_on: crucify,1
Vatican,Do: dare,1
Church (General),Do: show,1
bishops,Is: unaware,1
bishops,Is: consumer,1
Church (General),Do: choke,1
Church (General),Is: strapped,1
Jesus,Is: Savior,1
Priests/Clergy,Do: boyz,1
Abe (Politician),Act_on: use,1
Topic 0,Unification Church,1
Jesus,Do: rise,1
Christian,Is: absurd,1
Priests/Clergy,Act_on: elevate,1
Catholic,Is: formidable,1
Catholic,Is: opponent,1
Jesus,Act_on: direct,1
Jesus,Act_on: protect,1
Catholics,Do: blame,1
Trudeau,Do: set,1
Jesus,Do: break,1
Jesus,Do: shun,1
Catholic,Do: check,1
Jesus,Do: command,1
Church (General),Do: discriminate,1
bishops,Do: pursue,1
Trump,Act_on: back,1
Catholic,Do: post,1
Vatican,Do: learn,1
Vatican,Do: object,1
Catholics,Do: put,1
Jesus,Act_on: exploit,1
Catholic,Do: follow,1
Priests/Clergy,Do: stick,1
Priests/Clergy,Do: make,1
Catholic,Is: impressed,1
Catholic,Act_on: accompany,1
Christian,Do: recall,1
Christian,Do: buy,1
Unification Church,Do: hear,1
Christian,Do: miss,1
Unification Church,Is: Lutheran,1
Jesus,Do: use,1
Catholic,Do: appear,1
Muslims,Do: apologize,1
Muslims,Do: feel,1
Trump,Act_on: bless,1
Christianity,Do: come,1
NCR,Do: know,1
Unification Church,Do: hold,1
Catholic,Do: gag,1
bishops,Do: suggest,1
bishops,Do: teach,1
bishops,Do: admire,1
bishops,Do: disagree,1
bishops,Do: stand,1
Priests/Clergy,Do: address,1
Jesus,Do: touch,1
Priests/Clergy,Is: example,1
Jesus,Do: deal,1
Jesus,Do: steer,1
Catholics,Is: afraid,1
Priests/Clergy,Do: agree,1
Catholics,Is: priest,1
Catholics,Do: meet,1
Catholic,Do: forgive,1
Jesus,Do: watch,1
Vatican,Do: prefer,1
Catholic,Do: leave,1
Catholic,Is: Unitarian,1
Catholic,Do: plant,1
Catholic,Is: angry,1
Christianity,Do: take,1
Christianity,Is: best,1
Christianity,Do: make,1
Christianity,Do: continue,1
Christianity,Do: hope,1
Catholic,Is: convinced,1
Christian,Do: suppose,1
Christian,Do: bombard,1
Trump,Is: antithesis,1
Trump,Do: show,1
bishops,Do: care,1
Jesus,Do: select,1
Jesus,Do: come,1
Church (General),Do: sag,1
Catholic,Do: forbid,1
Jesus,Act_on: divide,1
bishops,Do: guess,1
Ontario,Do: argue,1
Ontario,Do: insist,1
Christian,Do: exclude,1
Canada,Do: get,1
Priests/Clergy,Do: promise,1
創価学会,Do: 後援,1
教皇,Do: 動く,1
日本人,Do: 譲歩,1
イエス・キリスト,Do: 決める,1
Church (General),Do: deny,1
Christian,Do: remember,1
Christian,Do: join,1
Christianity,Is: therapy,1
Trump,Is: abomination,1
Trump,Do: represent,1
Jesus,Act_on: threaten,1
Jesus,Do: blast,1
Catholic,Do: expect,1
Trump,Do: bow,1
Catholic,Is: happy,1
Vatican,Do: work,1
Jesus,Is: skeptical,1
教皇,Do: 让,1
神职人员,Act_on: 骗,1
主教,Do: 碎,1
神职人员,Do: 告,1
主教,Do: 避孕,1
信徒,Do: 吹,1
基督教,Do: 立国,1
神职人员,Act_on: 笑死,1
神职人员,Act_on: 想,1
信徒,Do: 成,1
法利赛人,Do: 当,1
主教,Do: 清醒,1
Church (General),Do: follow,1
日本人,Do: 壊す,1
绿教,Do: ある,1
基督教,Act_on: 極める,1
韓国,Do: 教える,1
カトリック,Do: つるむ,1
基督教,Act_on: する,1
イエス・キリスト,Do: 気付く,1
韓国,Do: する,1
基督教,Act_on: 学ぶ,1
NCR,Do: 下ろす,1
ネトウヨ,Do: 発狂,1
信徒,Do: 使う,1
イエス・キリスト,Do: 任命,1
日本人,Act_on: ぶつ,1
ネトウヨ,Act_on: 演ずる,1
日本人,Do: 選ぶ,1
Jesus,Do: think,1
Catholic,Is: Christian,1
犹太人,Do: 叫爹,1
基督教,Act_on: 只有,1
犹太人,Do: 尊重,1
犹太人,Do: 改,1
主教,Do: 拔,1
主教,Act_on: 叫,1
基督徒,Do: 算,1
主教,Do: 搞,1
主教,Do: 严,1
神棍,Do: ...,1
イエス・キリスト,Do: 言う,1
韓国,Do: 言う,1
日本人,Do: 持てる,1
基督教,Act_on: 名乗る,1
日本人,Act_on: 信ずる,1
イエス・キリスト,Do: なる,1
Topic 17,クリスチャン,1
クリスチャン,Act_on: 自称,1
キリスト者,Do: 守る,1
キリスト者,Do: いる,1
山上,Do: 引く,1
日本人,Act_on: 支配,1
中国,Do: 見せる,1
Topic 0,LDP (Japan),1
LDP (Japan),Do: GIF,1
信徒,Do: 要求,1
ネトウヨ,Do: 擁護,1
イスラム,Act_on: する,1
トランプ,Do: 勝つ,1
ネトウヨ,Do: 言い訳,1
カトリック,Do: ある,1
主教,Do: 怼,1
創価学会,Do: 洗脳,1
日本人,Act_on: 洗脳,1
日本人,Act_on: 追う,1
日本人,Do: 貢ぐ,1
日本人,Act_on: 徴兵,1
中国,Act_on: 戻す,1
山上,Act_on: する,1
日本人,Act_on: 取る,1
創価学会,Do: 手引き,1
創価学会,Act_on: 潰す,1
山上,Do: 起こす,1
創価学会,Do: 作る,1
創価学会,Act_on: する,1
信徒,Do: 向かう,1
教皇,Do: 憎悪,1
信徒,Do: 考える,1
日本人,Do: 逮捕,1
中国,Do: する,1
川普,Act_on: 摸到,1
主教,Do: 死,1
基督徒,Do: 迫害,1
川普,Do: 一样,1
神棍,Act_on: 叫,1
基督徒,Act_on: 上,1
法利赛人,Act_on: 保持,1
法利赛人,Do: 在乎,1
法利赛人,Do: 说,1
教堂,Act_on: 指望,1
天主教徒,Act_on: 看,1
イエス・キリスト,Do: 晴らす,1
教堂,Do: 呪う,1
山上,Act_on: 批判,1
LGBT,Do: 差別,1
カトリック,Do: なる,1
基督徒,Act_on: 名乗れる,1
トランプ,Do: 離脱,1
中国,Do: 牛耳る,1
日本人,Do: 急増,1
信徒,Act_on: 増やす,1
法利赛人,Do: いる,1
韓国,Act_on: 認める,1
カトリック,Do: 残す,1
日本人,Do: 自覚,1
日本人,Do: 納得,1
神棍,Do: いる,1
日本人,Do: ある,1
教団,Do: 見る,1
日本人,Do: 気取り,1
Jesus,Do: 取る,1
修女,Do: 死ぬ,1
信徒,Do: 分成,1
主教,Do: 找来,1
主教,Act_on: 代行,1
神棍,Act_on: 发现,1
神棍,Do: 做,1
神棍,Act_on: 有,1
川普,Act_on: 捧,1
主教,Act_on: 感谢,1
主教,Do: 模仿,1
イエス・キリスト,Do: 来る,1
イエス・キリスト,Do: 代表,1
イエス・キリスト,Act_on: 代表,1
イエス・キリスト,Act_on: 呼ぶ,1
犹太人,Do: 知る,1
トランプ,Do: 晒す,1
イエス・キリスト,Do: 重視,1
基督徒,Act_on: 浄化,1
日本人,Do: 出る,1
創価学会,Do: ある,1
神棍,Do: 憎む,1
神棍,Act_on: 捏造,1
基督教,Do: 批判,1
教団,Do: 経営,1
教団,Do: 納める,1
日本人,Do: 手伝う,1
日本人,Do: 作る,1
神棍,Do: 創る,1
神棍,Do: 創造,1
日本人,Do: 自省,1
日本人,Do: 怯える,1
教皇,Do: 出す,1
日本人,Do: いける,1
中国,Act_on: 引く,1
日本人,Act_on: 狙う,1
LGBT,Act_on: 認める,1
日本人,Act_on: 破滅,1
基督教,Do: やる,1
教堂,Do: やる,1
神职人员,Do: 名乗る,1
日本人,Act_on: 絶滅,1
イエス・キリスト,Do: 許す,1
中国,Do: 住む,1
绿教,Do: いや,1
神棍,Do: 進化,1
日本人,Act_on: 腐る,1
山上,Do: 計画,1
基督徒,Do: する,1
イエス・キリスト,Do: つるむ,1
修女,Do: 奪う,1
修女,Act_on: する,1
基督徒,Do: 怯える,1
基督教,Act_on: 騙る,1
創価学会,Do: 絡む,1
中国,Do: 与える,1
山上,Do: 取る,1
主教,Do: 弾圧,1
信徒,Do: 祈る,1
日本人,Do: 破壊,1
イエス・キリスト,Do: 実在,1
神棍,Do: 超える,1
神棍,Act_on: ありがたい,1
イエス・キリスト,Act_on: 演ずる,1
イエス・キリスト,Do: 出す,1
キリスト者,Act_on: 行う,1
Topic 7,クリスチャン,1
クリスチャン,Do: 実証,1
イエス・キリスト,Do: 証明,1
イエス・キリスト,Do: 追う,1
Vatican,Do: ?,1
山上,Do: やる,1
日本人,Do: 脅かす,1
創価学会,Do: 気づく,1
カトリック,Do: ヅラ,1
山上,Do: 潰す,1
ネトウヨ,Do: ?,1
ネトウヨ,Do: 吠える,1
イエス・キリスト,Do: 存在,1
信徒,Do: 望む,1
日本人,Do: つく,1
修女,Do: 語る,1
山上,Do: 擁護,1
ネトウヨ,Do: 持つ,1
日本人,Act_on: 置く,1
日本人,Do: 食べる,1
基督教,Do: なる,1
日本人,Do: 言う,1
Abe (Politician),Do: 保護,1
ネトウヨ,Do: 知る,1
創価学会,Do: 批判,1
教皇,Do: 乞う,1
日本人,Do: 言い訳,1
イスラム,Do: 繰る,1
Topic 0,北朝鮮,1
北朝鮮,Do: 支援,1
教団,Do: する,1
基督教,Act_on: 信,1
教皇,Act_on: 写信,1
中国,Do: 有,1
韓国,Do: 似る,1
韓国,Act_on: 占領,1
日本人,Do: 消える,1
山上,Do: 破壊,1
山上,Do: 考える,1
教皇,Act_on: する,1
MSW,Act_on: 作る,1
トランプ,Do: 出る,1
神棍,Do: 理解,1
日本人,Act_on: 言う,1
日本人,Act_on: 象徴,1
トランプ,Act_on: おだてる,1
Priests/Clergy,Do: face,1
Christian,Do: assault,1
Catholic,Is: glad,1
Catholic,Is: nice,1
Topic 14,基督徒,1
基督徒,Act_on: 有,1
主教,Do: 大,1
格里菲斯,Do: 有,1
日本人,Act_on: 増やす,1
韓国,Act_on: 象徴,1
日本人,Do: 協力,1
韓国,Do: 育つ,1
日本人,Act_on: ひく,1
トランプ,Do: 支持,1
トランプ,Do: 見る,1
日本人,Do: やる,1
