,Rank (Borda),Model,Zero-shot,Memory Usage (MB),Number of Parameters (B),Embedding Dimensions,Max Tokens,Mean (Task),Mean (TaskType),Clustering
181,182,[silma-embeddding-matryoshka-v0.1](https://huggingface.co/silma-ai/silma-embeddding-matryoshka-v0.1),⚠️ NA,516.0,0.135,768.0,512.0,31.38,31.38,31.38
182,183,[jina-embeddings-v2-small-en](https://huggingface.co/jinaai/jina-embeddings-v2-small-en),100%,62.0,0.033,512.0,8192.0,31.6,31.6,31.6
183,184,[Arabert-all-nli-triplet-Matryoshka](https://huggingface.co/Omartificial-Intelligence-Space/Arabert-all-nli-triplet-Matryoshka),100%,516.0,0.135,768.0,512.0,30.14,30.14,30.14
184,185,[distilrubert-small-cased-conversational](https://huggingface.co/DeepPavlov/distilrubert-small-cased-conversational),100%,408.0,0.107,768.0,512.0,30.12,30.12,30.12
185,186,[Marbert-all-nli-triplet-Matryoshka](https://huggingface.co/Omartificial-Intelligence-Space/Marbert-all-nli-triplet-Matryoshka),100%,621.0,0.163,768.0,512.0,29.17,29.17,29.17
186,187,[deberta-v1-base](https://huggingface.co/deepvk/deberta-v1-base),100%,473.0,0.124,768.0,512.0,31.11,31.11,31.11
187,188,[ternary-weight-embedding](https://huggingface.co/malenia1/ternary-weight-embedding),⚠️ NA,158.0,0.099,1024.0,512.0,26.81,26.81,26.81
188,189,[jina-embeddings-v2-base-en](https://huggingface.co/jinaai/jina-embeddings-v2-base-en),100%,262.0,0.137,768.0,8192.0,24.36,24.36,24.36
189,190,random-encoder-baseline,100%,,,32.0,,25.04,25.04,25.04
190,191,[udever-bloom-560m](https://huggingface.co/izhx/udever-bloom-560m),100%,,,,,,,
191,192,[MicroLlama-text-embedding](https://huggingface.co/keeeeenw/MicroLlama-text-embedding),100%,1037.0,0.272,1024.0,2048.0,,,
192,193,[sentence-t5-base](https://huggingface.co/sentence-transformers/sentence-t5-base),100%,209.0,0.11,768.0,512.0,,,
193,194,[sentence-t5-large](https://huggingface.co/sentence-transformers/sentence-t5-large),100%,639.0,0.335,768.0,512.0,,,
194,195,[static-retrieval-mrl-en-v1](https://huggingface.co/sentence-transformers/static-retrieval-mrl-en-v1),100%,119.0,0.031,1024.0,,,,
195,196,[sarashina-embedding-v2-1b](https://huggingface.co/sbintuitions/sarashina-embedding-v2-1b),100%,4669.0,1.224,1792.0,8192.0,,,
196,197,[KaLM-embedding-multilingual-mini-instruct-v1.5](https://huggingface.co/HIT-TMG/KaLM-embedding-multilingual-mini-instruct-v1.5),55%,1885.0,0.494,896.0,512.0,,,
197,198,[ruri-v3-310m](https://huggingface.co/cl-nagoya/ruri-v3-310m),100%,1200.0,0.315,768.0,8192.0,,,
198,199,[bge-multilingual-gemma2](https://huggingface.co/BAAI/bge-multilingual-gemma2),55%,35254.0,9.24,3584.0,8192.0,,,
199,199,[ruri-v3-70m](https://huggingface.co/cl-nagoya/ruri-v3-70m),100%,140.0,0.037,256.0,8192.0,,,
200,201,[ruri-base](https://huggingface.co/cl-nagoya/ruri-base),⚠️ NA,212.0,0.111,768.0,512.0,,,
201,202,[ruri-v3-130m](https://huggingface.co/cl-nagoya/ruri-v3-130m),100%,504.0,0.132,512.0,8192.0,,,
202,203,[ruri-base-v2](https://huggingface.co/cl-nagoya/ruri-base-v2),⚠️ NA,424.0,0.111,768.0,512.0,,,
203,204,[ruri-v3-30m](https://huggingface.co/cl-nagoya/ruri-v3-30m),100%,140.0,0.037,256.0,8192.0,,,
204,205,[e5-large-trm-nl](https://huggingface.co/clips/e5-large-trm-nl),100%,1355.0,0.355,1024.0,514.0,,,
205,206,[sarashina-embedding-v1-1b](https://huggingface.co/sbintuitions/sarashina-embedding-v1-1b),100%,4669.0,1.224,1792.0,8192.0,,,
206,207,[ruri-large](https://huggingface.co/cl-nagoya/ruri-large),⚠️ NA,644.0,0.337,1024.0,512.0,,,
207,208,[ruri-large-v2](https://huggingface.co/cl-nagoya/ruri-large-v2),⚠️ NA,1287.0,0.337,1024.0,512.0,,,
208,209,[e5-base-trm-nl](https://huggingface.co/clips/e5-base-trm-nl),100%,237.0,0.124,768.0,514.0,,,
209,210,[xlm-roberta-ua-distilled](https://github.com/panalexeu/xlm-roberta-ua-distilled/tree/main),100%,1061.0,0.278,768.0,512.0,,,
210,211,[e5-small-trm-nl](https://huggingface.co/clips/e5-small-trm-nl),100%,78.0,0.041,384.0,512.0,,,
211,211,[text-embedding-ada-002](https://openai.com/index/new-and-improved-embedding-model/),⚠️ NA,,,1536.0,8191.0,,,
212,213,[bangla-sentence-transformer-ft-matryoshka-paraphrase-multilingual-mpnet-base-v2](https://huggingface.co/Kowshik24/bangla-sentence-transformer-ft-matryoshka-paraphrase-multilingual-mpnet-base-v2),100%,1061.0,0.278,768.0,128.0,,,
213,214,[multi-qa-MiniLM-L6-cos-v1](https://huggingface.co/sentence-transformers/multi-qa-MiniLM-L6-cos-v1),100%,87.0,0.023,384.0,512.0,,,
214,214,[Solon-embeddings-mini-beta-1.1](https://huggingface.co/OrdalieTech/Solon-embeddings-mini-beta-1.1),100%,808.0,0.21,768.0,8192.0,,,
215,216,[lodestone-base-4096-v1](https://huggingface.co/Hum-Works/lodestone-base-4096-v1),100%,,,768.0,,,,
216,217,[gtr-t5-large](https://huggingface.co/sentence-transformers/gtr-t5-large),100%,639.0,0.335,768.0,512.0,,,
217,218,[Hinvec](https://huggingface.co/Sailesh97/Hinvec),100%,3715.0,0.94,2048.0,2048.0,,,
218,219,[sentence-t5-xxl](https://huggingface.co/sentence-transformers/sentence-t5-xxl),100%,9279.0,11.0,768.0,512.0,,,
219,220,[pubmedbert-base-embeddings-2M](https://huggingface.co/NeuML/pubmedbert-base-embeddings-2M),100%,7.0,0.002,64.0,,,,
220,221,[pubmedbert-base-embeddings-1M](https://huggingface.co/NeuML/pubmedbert-base-embeddings-1M),100%,2.0,0.001,64.0,,,,
221,222,[pubmedbert-base-embeddings-8M](https://huggingface.co/NeuML/pubmedbert-base-embeddings-8M),100%,30.0,0.008,256.0,,,,
222,223,[pubmedbert-base-embeddings-500K](https://huggingface.co/NeuML/pubmedbert-base-embeddings-500K),100%,2.0,0.001,64.0,,,,
223,224,[SONAR](https://ai.meta.com/research/publications/sonar-sentence-level-multimodal-and-language-agnostic-representations/),100%,,,1024.0,512.0,,,
224,224,[sentence-t5-xl](https://huggingface.co/sentence-transformers/sentence-t5-xl),100%,2367.0,3.0,768.0,512.0,,,
225,226,[pubmedbert-base-embeddings-100K](https://huggingface.co/NeuML/pubmedbert-base-embeddings-100K),100%,,0.0,64.0,,,,
226,227,[xlm-roberta-base](https://huggingface.co/FacebookAI/xlm-roberta-base),100%,1064.0,0.278,768.0,512.0,,,
227,228,[xlm-roberta-large](https://huggingface.co/FacebookAI/xlm-roberta-large),100%,2141.0,0.56,1024.0,512.0,,,
